"usuario.puntuacion","puntuacion.calidad_construccion","marca","GPS.notes","puntuacion.visor","fecha_lanzamiento","caracteristicas.resolucion","puntuacion.general","caracteristicas.velocidad_obturador","modelo","puntuacion.modo_video","puntuacion.puntuacion_calidad_raw","caracteristicas.peso","puntuacion.precision","tipo_sensor","puntuacion.calidad_jpg","precio","GPS","puntuacion.caracteristicas","puntuacion.ergonomia_manejo","puntuacion.pro_review","puntuacion.luz_baja_alto_ISO","tipo_cuerpo","caracteristicas.volumen"
NA,82.4489795918367,"Pentax",NA,84.2857142857143,"2020","6192 x 4128",74.6938775510204,"1/8000 sec","Pentax K-3 Mark III",38.7755102040816,81.9183673469388,820,67.9591836734694,"CMOS",65.2484023912595,1999,"None",81.2925170068027,80.4081632653061,81.1428571428571,72.8200371057514,"Mid-size SLR",1038960
NA,NA,"Sigma",NA,NA,"2020","9520 x 6328",NA,"1/8000 sec","Sigma fp L",NA,NA,427,NA,"CMOS",NA,2499,"None",NA,NA,NA,NA,"Rangefinder-style mirrorless",355950
NA,81.5384615384615,"Fujifilm",NA,80.3296703296703,"2020","11648 x 8736",73.5164835164835,"1/4000 sec","Fujifilm GFX 100S",68.6813186813187,86.1758241758242,900,73.7362637362637,"CMOS",78.2739482739483,5999,"None",77.6190476190476,79.6703296703297,84.6153846153846,80.0799200799201,"SLR-style mirrorless",1357200
NA,75.7142857142857,"Fujifilm",NA,70.7142857142857,"2020","6240 x 4160",65,"1/4000 sec","Fujifilm X-E4",52.1428571428571,83.0857142857143,364,70.8571428571429,"CMOS",75.4935064935065,849,"None",67.1904761904762,75.2857142857143,80.4,75.8831168831169,"Rangefinder-style mirrorless",291489
NA,74.5454545454545,"Sony",NA,88.5714285714286,"2020","8640 x 5760",79.2207792207792,"1/8000 sec","Sony a1",88.4415584415584,86.2727272727273,737,80.3896103896104,"CMOS",74.8917748917749,6500,"None",88.1818181818182,70,87.3636363636364,85.926800472255,"SLR-style mirrorless",1013553
NA,89.8701298701299,"Leica",NA,88.7012987012987,"2020","6000 x 4000",38.3116883116883,"1/8000 sec","Leica SL2-S",35.7142857142857,83.7662337662338,931,76.9480519480519,"CMOS",69.2968647514102,4895,"None",67.7489177489177,71.4285714285714,82.1818181818182,67.1782762691853,"SLR-style mirrorless",1296626
NA,83.015873015873,"Olympus",NA,78.2539682539683,"2020","4608 x 3456",62.6984126984127,"1/4000 sec","Olympus OM-D E-M10 IIIs",71.4285714285714,74.9206349206349,411,71.3492063492064,"CMOS",68.2716049382716,599,"None",82.962962962963,80.3174603174603,82.2222222222222,67.041847041847,"SLR-style mirrorless",512400
NA,89.2857142857143,"Leica",NA,87.8571428571429,"2020","8368 x 5584",39.2857142857143,"1/2000 sec","Leica Q2 Monochrom",32.1428571428571,83.7142857142857,734,76.7857142857143,"CMOS",69.5526695526696,5995,"None",66.6666666666667,71.4285714285714,82,67.0779220779221,"Large sensor compact",956800
87,82.8571428571429,"Fujifilm",NA,71.4285714285714,"2020","6240 x 4160",85.7142857142857,"1/4000 sec","Fujifilm X-S10",84.2857142857143,85.1428571428571,465,75,"CMOS",77.6334776334776,999,"None",83.3333333333333,84.2857142857143,86,80.1298701298701,"SLR-style mirrorless",696150
NA,92.8571428571429,"Nikon",NA,92.8571428571429,"2020","6048 x 4024",88.5714285714286,"1/8000 sec","Nikon Z6 II",75.7142857142857,90.1428571428571,705,78.5714285714286,"CMOS",81.8181818181818,1995,"None",87.1428571428571,85.7142857142857,89,85.1948051948052,"SLR-style mirrorless",947380
